x,y,z
-17.458779988569901,-56.490536452439471,269.75126458063045
-17.594110497812267,-56.694679163084771,269.85226389043504
-17.747047054688068,-56.758780362102698,270.10382730998549
-17.912460222690768,-56.763957706123193,270.40604012905044
-18.016551262457753,-56.747746202626132,270.62698381969102
-18.000256685824311,-56.741750247189771,270.75185695411045
-18.044471679101193,-56.672369768654846,270.86380075437171
-18.061975106905606,-56.705591939318595,270.87673686588391
-18.048852290524565,-56.784066339795032,270.82999658724373
-18.007485077689267,-56.709656816703983,270.95107045752411
-18.119010005307288,-56.629773713699478,271.07260087917626
-18.160548619107033,-56.663911314045635,271.00535426666545
-18.153979979736135,-56.757536015849439,270.92453392449642
-18.209445646264356,-56.700082493829257,271.01152282473299
-18.195537344106441,-56.927410887594078,270.87045728775684
-18.338295895938629,-56.890117872808332,271.00329675868494
-18.673827378506189,-56.821287811736511,271.29206263659131
-18.792385116096938,-56.732932567621162,271.57005528365357
-18.827195028268704,-56.701888867419143,271.80936409198955
-18.935492778583168,-56.823059352671407,271.90691810777992
-19.285123350022303,-56.8008564204697,272.08590305726892
-19.733443936183477,-56.879711305336372,272.3338786962081
-20.223347971784463,-56.860108184136209,272.49517314549803
-20.618881661347743,-56.966682003786929,272.72000194243645
-20.887068762607498,-57.110263704853594,272.81820267422938
-21.150408496122211,-57.17188629479341,272.97673263194855
-21.348751978013354,-57.172699771799756,273.2785943015204
-21.644708076865101,-57.195067354658704,273.50018606380286
-21.809085202524685,-57.456759534850704,273.53956483822429
-22.100825828038154,-57.463390931901415,273.73373135097842
-22.443536352769001,-57.524846401198175,273.97629956187649
-22.731214366860399,-57.85593121436446,273.97095626630136
-23.012467183829884,-58.088539912694444,274.06609652859044
-23.274556109085509,-58.151010831984337,274.31135873293169
-23.484186022246391,-58.253580262051912,274.49993786829083
-23.613593009565037,-58.271972772236381,274.73295547700548
-23.75507774920797,-58.358438245292064,274.85267171613276
-23.830745094666227,-58.368605807002609,275.01563478967489
-23.831045637053506,-58.386562587614179,275.14809999665664
-23.687493028502004,-58.321687781896031,275.45113027699426
-23.380979169664798,-58.365065037566922,275.68273885193196
-23.081038493435997,-58.516166376227631,275.77486923860363
-22.745367700611467,-58.556239219563338,276.01546639899476
-22.550786231411365,-58.554269153158003,276.2139873605895
-22.295943094190179,-58.558123076339598,276.40664772137472
-21.999904980569582,-58.784011741948547,276.50319911101519
-21.868508319093692,-58.785301924799541,276.61054545987577
-21.54377329431874,-58.890383959554242,276.70820597827617
-21.411791742708274,-59.003488049869588,276.84194441239185
-21.44878023498633,-59.070702877278904,276.86904475332017
-21.171656147574467,-59.401070870240744,276.78101646495844
-21.236495025265924,-59.265731243979786,277.01443929850711
-21.250277919733136,-59.407696428523167,276.93939553268075
-21.144446981575427,-59.378166061852255,277.11078103246547
-21.058752993625532,-59.254837878793296,277.39010929823809
-21.101491269181039,-59.146338388934709,277.5192714059956
-21.104537041012435,-59.218569493305012,277.52621211279484
-21.065696383540001,-59.284397490913875,277.5678030391457
-21.10047270783312,-59.357261546080878,277.57064998247915
-21.385408238441499,-59.393754076961613,277.57665828309399
-21.632680431286303,-59.429875916052424,277.66018002739094
-22.03866487933081,-59.361739701152572,277.6353911978789
-22.369990611776771,-59.274310888611467,277.59593258889515
-22.623703291136636,-59.32408946607643,277.40376302798109
-23.05850728975534,-59.440953221002275,277.11614612524551
-23.647143918170627,-59.318479901728409,277.00958211324388
-24.141918801191338,-59.119041637277888,277.04003119355559
-24.503116674025762,-59.221719177161589,276.69735673894871
-24.853659715176079,-59.201653986774858,276.43607687389255
-25.220458308635401,-59.427655761359745,275.9103314527618
-25.533748594860896,-59.6385851790061,275.32319535102272
-25.890966981736241,-59.444092238988162,274.98725516167804
-26.323741932323188,-59.355543866292578,274.47031946113879
-26.660468566411296,-59.131774874019612,273.96230707172776
-26.9046029990444,-58.994673966149321,273.39478558117804
-27.09711451461159,-58.947532733490789,272.78398968188662
-27.202350683213282,-58.743130161880401,272.26024175210154
-27.361123882110121,-58.644954875586677,271.61550619727313
-27.634923456549885,-58.444811651540505,271.12091586256008
-27.753929963757741,-58.236699712369216,270.64515566659117
-27.801963414632766,-58.219308877052953,270.05118685360657
-27.727920521077934,-58.034877704864954,269.73984403252217
-27.649228126710597,-57.9447093309075,269.31636852198022
-27.610273269471179,-57.975970006949495,268.80198859278192
-27.540606150819741,-58.094241944714412,268.17433128763031
-27.602018276080287,-58.10242793408662,267.60443079525129
-27.583987728565162,-57.754565308857366,267.40975151054693
-27.445960413421105,-57.59424670058354,266.97664787465942
-27.436964689995392,-57.564068313524416,266.36942731087902
-27.28519705080781,-57.573615385202515,265.76040468093481
-27.109366357105699,-57.530166400008341,265.25953170164138
-26.745886561090458,-57.469410301893106,264.76606779161756
-26.286156150894541,-57.213226361241226,264.44421434456143
-25.759880649002056,-57.048846337817821,263.99225002287051
-25.18819338827538,-56.683083761514524,263.71599024936188
-24.534625884753339,-56.460196260334726,263.21859806034655
-23.7540231264136,-56.483438705193151,262.49161701602628
-23.307071134604612,-56.563743461271599,261.76075171347634
-22.72146774795074,-56.466311772216812,261.31064737114605
-22.121526518664993,-56.335534685026147,260.79870384317974
-21.240551375757917,-56.447466466657346,260.203607779778
-20.551151327110688,-56.649602859201877,259.58292778525458
-19.867402155209376,-56.926290415653312,258.96124818754504
-19.338338861128094,-57.029463557063792,258.58069668508841
-18.770298662228598,-57.125407293917448,258.29768851593002
-18.265626234709885,-57.22604645302323,258.0382510671418
-17.792504362859603,-57.587529039382929,257.51652349112447
-17.329571980761557,-57.766583862728453,257.32342068746175
-16.987481846306295,-57.745660294867434,257.28060787765389
-16.473804158896314,-57.970434646594583,256.99976795712524
-16.035820095617225,-58.040965195250834,256.91049867288291
-15.617401691165938,-58.217074380364522,256.83308055510616
-15.283854509660529,-58.289801866283341,256.86407220829238
-14.816338678138237,-58.207584324838905,257.18523488928514
-14.438715907550034,-58.189394018949287,257.44055691304118
-14.08516687172326,-58.238201465385998,257.64986796088181
-13.715755111003915,-58.091517704888901,258.01601579670972
-13.377793455383994,-58.074785144127702,258.34359115141871
-12.994025179614653,-57.962326285284462,258.91576595823256
-12.626429800101192,-57.877245836341444,259.44174162026877
-12.380190118476719,-57.866112195434312,259.99992468084605
-12.034127422441316,-57.593002407783047,260.78911571251643
-11.825198714666584,-57.877202570539964,260.91110727639648
-11.624239606608029,-57.733759169735009,261.48792212664858
-11.731441203863966,-57.525441357654273,262.15916169731088
-11.509499753558089,-57.519806152710743,262.69768645477228
-11.411628235896416,-57.377823940534427,263.34301105215116
-11.469646127430593,-57.291744096643015,263.98458130516906
-11.687452593328089,-57.255216494848213,264.51596966267778
-11.958817514604192,-57.082984289103109,265.10629595111357
-12.316801632366236,-57.139754121040966,265.38623466738875
-12.610031549532494,-57.240826740824986,265.78094812483556
-12.932985460610837,-57.241138644054558,266.17595509326907
-12.847625918693012,-57.211407270162624,266.51774625556726
-12.811479472209413,-57.079503712501293,266.83424024532576
-12.846981210710339,-57.209462092904857,266.61560923136739
-12.833295973203803,-57.29026250862961,266.51485583864718
-12.96843266133979,-57.219395697205101,266.54129334366684
-13.073999784681035,-57.168152220090064,266.55795474795792
-13.056884276996044,-57.117524062904408,266.59383303364893
-13.061394952850407,-57.030858252606578,266.68200590590749
-12.931459485764123,-56.965934979227569,266.74826393597795
-12.821641135898801,-57.086798930004079,266.65618515755739
-12.920821513089322,-57.223026369501383,266.51692757424894
-13.025817939664051,-57.274682238243827,266.54116575320108
-13.06416728035569,-57.349894735536679,266.43407334745393
-13.16034628452374,-57.077040655965561,266.51647505039705
-13.245102913146752,-56.977213879079784,266.36723776720146
-13.320564955021823,-56.71117640152255,266.39590119321275
-13.692776991309344,-56.477913749863859,266.50301827350251
-14.433423235003445,-56.417175808737312,266.36013823731309
-14.973450965294759,-56.468966415609771,266.14157728304531
-15.21782255832143,-56.429238528664655,265.98168720023807
-15.625042467294548,-56.260265660513511,265.96691461549608
-15.851084402337278,-56.279446364319028,265.96152519100667
-15.932838175846371,-56.366185447728583,265.86274191158492
-15.843820896373984,-56.498169000648289,265.73465504512927
-15.832310721036094,-56.512850337706311,265.70228535959683
-15.863006422683739,-56.359993556782797,265.99908574227641
-15.866850824779249,-56.247788208263302,266.21835489382823
