x,y,z
58.316076741851987,-235.47232146463267,-451.20135893182493
58.319798224958859,-235.4851086771146,-451.21266423966637
58.324900729831711,-235.49775242311705,-451.22269562897037
58.330724228005536,-235.50983904049045,-451.23053643182959
58.335739839570053,-235.52168553935942,-451.23635900624356
58.337983209778926,-235.53436567051972,-451.24101075389302
58.334327713759279,-235.54855784086553,-451.24578654437221
58.320480241837537,-235.56405289667686,-451.2515243311222
58.290962594238792,-235.57999843381114,-451.25860488806518
58.240567076199419,-235.59542781500758,-451.26696702996622
58.165920846452089,-235.60966014873867,-451.27633251432644
58.068398798576212,-235.6218094521011,-451.28584536334984
57.956105124604484,-235.6313781376073,-451.29458594967218
57.842094875016272,-235.63838788567014,-451.30196984985815
57.737595493478082,-235.6436045303287,-451.30810612857647
57.647925551604317,-235.64761191025016,-451.31337269215408
57.572416399445252,-235.65073355470636,-451.31831764359839
57.507982390294657,-235.65271722672941,-451.32268138504344
57.451561403205076,-235.65332008407401,-451.32599334061962
57.402823590473886,-235.65279159293328,-451.32789087268407
57.362809878426368,-235.65160248715358,-451.32817284608097
57.332041462306982,-235.65041669165814,-451.32725000101158
57.31007670415849,-235.64999012755754,-451.32635608198211
57.296042639673246,-235.65127853896354,-451.32744137548565
57.288530781480688,-235.65517542538558,-451.33248228600888
57.285738957180598,-235.66217727905163,-451.342244604261
57.285954937125332,-235.67158883296094,-451.35514416616923
57.287228857661347,-235.6819251871666,-451.36863949384718
57.28796873748567,-235.69244680473608,-451.38140255293138
57.28675379360358,-235.70229470611218,-451.39296414465304
57.282426568608017,-235.71120789943879,-451.40365296605046
57.274242042051505,-235.71886953916217,-451.41404719806013
57.262240954394258,-235.7247809716909,-451.42435553571676
57.246899336769857,-235.72807700537516,-451.4342774153933
57.229205083917819,-235.72871004971663,-451.44345627345064
57.21066291403627,-235.72747014094807,-451.4516286227323
57.193546626054975,-235.72557980159817,-451.45882211106124
57.180167054209463,-235.72402302843437,-451.46494366218911
57.17172341825291,-235.72230138867212,-451.46907312385372
57.167504446309223,-235.71912780353787,-451.46993082669428
57.166104161636753,-235.71337420534471,-451.46654674538172
57.166695250895614,-235.70563781263695,-451.45913467711017
57.169304127413284,-235.69772943647538,-451.44938077195735
57.174230504823093,-235.69163938669107,-451.43947171300471
57.181105187290271,-235.68835144259953,-451.43118244603932
57.188674982592495,-235.68742566123109,-451.42517382995794
57.19566207580425,-235.68809464553721,-451.42162451586262
57.201750335278724,-235.69006491412071,-451.42096575667313
57.207096517389289,-235.69365758365649,-451.4239244935286
57.211905679254272,-235.69959991979562,-451.43050890861178
57.215220022855803,-235.7086951371875,-451.44058737861059
57.214322679367335,-235.72091399204922,-451.45307143718327
57.205332524091233,-235.73546250658927,-451.46642008395258
57.186223564545706,-235.75142561263635,-451.47961257599616
57.160122822585429,-235.76883549859429,-451.49229241495874
57.132922131790643,-235.78815663713425,-451.50486560957398
57.109292412341574,-235.80980007498459,-451.51786222516313
57.091516810740174,-235.83301154757601,-451.53078331526598
57.080371868558444,-235.85620466209659,-451.54285847274389
57.075684364797553,-235.8780009106863,-451.55382787890994
57.076984902032095,-235.89826793627466,-451.56457772181659
57.082472742234202,-235.91688296201107,-451.57611543849117
57.089144949247526,-235.93362426021775,-451.5887505610628
57.09328737716536,-235.94798611969986,-451.60232719430394
57.092423247071061,-235.96033534866515,-451.61643803092954
57.085632131962306,-235.97091668966419,-451.63053645232975
57.073075777411411,-235.97974107071568,-451.64395956859437
57.055542326796228,-235.98652380956011,-451.65632696329646
57.033968264389202,-235.99135362580844,-451.66792952935708
57.009412817935811,-235.99500404758854,-451.67976465550657
56.98322073537642,-235.99782768567201,-451.69208736457654
56.956989102691551,-235.99935481714365,-451.70326299269021
56.932162976739136,-235.99854223233555,-451.71048279728819
56.910032215551695,-235.9951818850646,-451.71239391181876
56.891060917145595,-235.98968879888724,-451.7095714470974
56.875000258056971,-235.98269890558268,-451.70361740717169
56.861098203694091,-235.97463683719513,-451.69606403496459
56.84884782156098,-235.96604998446048,-451.68813264867197
56.838398705247009,-235.95840987422193,-451.68153434112412
56.829892459232923,-235.95351991342147,-451.67793251188471
56.822885829510007,-235.95293060320316,-451.67827746341192
56.816258132344075,-235.95767534972924,-451.68288772966099
56.808883582955453,-235.96792637036882,-451.69145113026161
56.799757761469763,-235.98303148806286,-451.70342162570989
56.788348004152326,-236.00212741493152,-451.71844295066563
56.77444640420704,-236.02395475533103,-451.73568260372747
56.757836135442361,-236.04740869342228,-451.75404390614068
56.738480004220889,-236.07164554397025,-451.77213209978197
56.716955177736253,-236.09672268501316,-451.78889911578119
56.694205084758082,-236.12252466713716,-451.80361011472547
56.670863006089427,-236.14837485580952,-451.8158164142385
56.647821190642389,-236.17318089194842,-451.82529947337559
56.62562657564176,-236.19546547807846,-451.83158118535164
56.604209910569637,-236.21418912085736,-451.834401354325
56.582917582276863,-236.22824412665608,-451.83336550689694
56.56135400590891,-236.23763808406855,-451.82873679151447
56.539703760097794,-236.2431631931465,-451.82178765413715
56.51884249693363,-236.24666081802582,-451.81476557313096
56.499242894174124,-236.25009854720929,-451.81045903032975
56.480878941059515,-236.25462686905672,-451.81063492538709
56.463344029996236,-236.26028675609359,-451.8153431902428
56.446352512384607,-236.26626706857394,-451.8230922485082
56.429513918509592,-236.27142160765206,-451.83156064331138
56.412060989207916,-236.27469341191491,-451.83877408567042
56.393620886113652,-236.27558123101633,-451.84376083708855
56.373517229740855,-236.27486162017149,-451.84729131513222
56.351706510885052,-236.27411560417539,-451.85100621965984
56.32830540525201,-236.27474993186243,-451.85617550672572
56.304219039152088,-236.27742871060784,-451.86275144627126
56.280219285708149,-236.28187198830415,-451.86975612233925
56.256769954326884,-236.28698502216665,-451.87579854664006
56.233566721435253,-236.29203077869971,-451.88045454941425
56.209984446505771,-236.29651511158778,-451.88366306179586
56.185298539365604,-236.30126547516414,-451.88669824493371
56.159564094987275,-236.30866397059103,-451.89135047334167
56.133260665216532,-236.32171543276016,-451.89962730292569
56.107192436227251,-236.34313258463015,-451.91311824271088
56.082665941742675,-236.37428202960305,-451.93265775885487
56.060277946173514,-236.41398882257684,-451.95747617628808
56.039820840183737,-236.45923661290993,-451.98581551962025
56.020157293852321,-236.50509958455862,-452.01464897447579
55.999891516231784,-236.54675509595936,-452.04105657523746
55.978320279787326,-236.5807204499873,-452.06296146723997
55.956047345926891,-236.60623873404626,-452.0802893328339
55.934696412128801,-236.62453059805571,-452.09398785998803
55.916181033545364,-236.6377201661212,-452.10538927489455
55.901809477113844,-236.64817097849266,-452.11584333441101
55.891951629048521,-236.65814078668606,-452.12633488614318
55.885745802321537,-236.66918407371861,-452.13770983479446
55.882117908772713,-236.68208543007222,-452.15042155878342
55.879853676547803,-236.69682386705256,-452.16484604807994
55.878343193518695,-236.71238468629261,-452.18038310217179
55.876809245633666,-236.72715467965358,-452.1960068704347
55.874706281704917,-236.7395908831144,-452.21015691634727
55.871884802437847,-236.74898526302357,-452.22152484106925
55.86822626930357,-236.75531224024334,-452.22929072159639
55.862946826904476,-236.75862181192579,-452.23329184688947
55.855083675955974,-236.75976455688229,-452.23429777910019
55.844166047401743,-236.76024260288631,-452.23417908433356
55.830333998938315,-236.76202646764622,-452.23544120965505
55.814295000828409,-236.76665274460774,-452.2400290686295
55.796824128473304,-236.77417880430721,-452.24819837507209
55.778375022029877,-236.78315966877994,-452.25836333421751
55.759559066642495,-236.79193994845917,-452.26847806044668
55.740876131449483,-236.79909498521417,-452.27664307827894
55.722655587443455,-236.80429520685669,-452.28199882489918
55.704414630418128,-236.8077074794366,-452.28501087034101
55.685437461224737,-236.80966573008504,-452.2865657123819
55.665091416511373,-236.81093685205519,-452.28767391289921
55.644115965702539,-236.81273709768482,-452.28905036797278
55.623505094779745,-236.81605088439716,-452.2910622571643
55.604062135932153,-236.82089255586894,-452.29307467732474
55.585449267790679,-236.82577366647644,-452.2938749411453
55.566564020766336,-236.82926598118064,-452.29262210044982
55.546101039311282,-236.82987726553398,-452.28895741588985
55.522684854818962,-236.8271141160605,-452.2833944315247
55.495769558101657,-236.82131087482207,-452.27674877526368
55.465304325388644,-236.8138103649286,-452.27055301433609
55.43218785112591,-236.80640390759206,-452.26605668296816
55.397637136604878,-236.80118496779244,-452.26415429731782
55.362370252799622,-236.79944968198367,-452.26517732104122
55.327034663574281,-236.80211792660842,-452.26949470613607
55.291948938397255,-236.80873525893483,-452.2769163779069
55.257611547186869,-236.81780064958028,-452.28643188540536
55.224441681951433,-236.82742382404933,-452.29657502551913
55.192880322023946,-236.83533913374487,-452.30515417871175
55.163737162992874,-236.84077948831509,-452.31122963908626
55.13780452631444,-236.84398441557553,-452.31514282922825
55.115495648241236,-236.84566063113678,-452.3180176078144
55.096935753444043,-236.8465523348948,-452.32071928737884
55.081724146312496,-236.84717987501028,-452.32388103540455
55.069303760279652,-236.84854758867021,-452.32841748011396
55.05825093605084,-236.85163584655336,-452.33531125068305
55.04705420214583,-236.8567970055266,-452.34484721917846
55.035202802848218,-236.86411684430297,-452.35656171135111
55.023034157483501,-236.87340316360388,-452.36930646832508
55.010931917712867,-236.88425701619735,-452.38201644899505
54.998901564132687,-236.89629620334063,-452.39442534275571
54.986630888792121,-236.90902914773437,-452.40668092117721
54.974015387809615,-236.92213188121625,-452.41894018679835
54.960770009776724,-236.93448100471147,-452.4306827625324
54.946528519134596,-236.94495141364882,-452.44106341365557
54.930716491212323,-236.95254100746024,-452.44951480714491
54.913046333683631,-236.95736392375261,-452.45605051932171
54.893019536876892,-236.9599131800143,-452.46090874332947
54.870524881252202,-236.96128679503229,-452.46456036254278
54.846493989042159,-236.96251695790721,-452.46749029329919
54.822028807998024,-236.96418473795345,-452.47013705580611
54.798153093671814,-236.96643832503136,-452.47265633336394
54.774722065806912,-236.96819677848524,-452.47453606349654
54.751117117760224,-236.96826980978452,-452.47533499454852
54.726796126669768,-236.96665909700471,-452.47545152924647
54.701260424785929,-236.9648337162952,-452.47626844312975
54.673799174510812,-236.96452297797356,-452.47941455010988
54.644031103494569,-236.9664043705435,-452.48593081765529
54.6117910316012,-236.97023308483929,-452.4959307094262
54.577693632856764,-236.97457835430663,-452.50820574456384
54.924883233482817,-235.58871965129197,-451.15581521476247
54.890808468390127,-235.5894380362169,-451.16699086388456
54.457687465972057,-236.96908595654753,-452.53628231952797
54.426980649362577,-236.96677120770343,-452.54392912610763
54.398613898871339,-236.96298177421829,-452.54931695251264
54.371970105172579,-236.95897259169436,-452.55298587840207
54.345886213020833,-236.95625187926402,-452.5557754716686
54.318995257813427,-236.95523113521023,-452.55809489649215
54.290382313382011,-236.95587757175574,-452.56037031665028
54.260529208902874,-236.9584297880962,-452.5630671540315
54.231267924146898,-236.96367361478329,-452.5667118325004
54.204749885740242,-236.97234281298836,-452.57166951074055
54.182158535605254,-236.98468947052228,-452.5785098022248
54.163117905956497,-237.00044729336602,-452.58813573484025
54.145543068539254,-237.01819302976403,-452.60067854788019
54.520924388042673,-235.70571433186547,-451.30864509504642
54.499630196738337,-235.71610957442149,-451.32041702577806
54.473657590032545,-235.72109813121213,-451.33084104630365
15.48935876341578,-338.75043658346954,-183.03175159746536
15.462593453051923,-338.7254036325366,-183.02927255917689
54.369329380109193,-235.71626006586581,-451.36256718969804
15.406843195545633,-338.66581733172075,-183.02029086610784
54.291686590931818,-235.71986086260188,-451.39749116759197
54.254726070350017,-235.72858372912052,-451.41999453771757
15.349539319483256,-338.54847060790229,-183.0014844232326
15.335392007112787,-338.50531864178686,-182.99659213347502
54.145723210612935,-235.77006211481003,-451.49074808107792
15.301133949287575,-338.42147555643629,-182.99030221975974
54.068273373855718,-235.79094230282837,-451.52997750550838
54.030468595232207,-235.7968003341401,-451.54741042430419
53.994754755412721,-235.8000055183179,-451.56318838933834
53.96217270614315,-235.80133428981864,-451.57706457126056
15.194589075547327,-338.26276281524116,-182.97131779348445
15.178265291870517,-338.2396640579878,-182.96784445691515
15.165737432563844,-338.21723610276734,-182.96484925494511
53.864874073618367,-235.8159472992088,-451.62589574227621
15.154375469698351,-338.17040812429582,-182.96012823731215
53.835442729665345,-235.84240346987272,-451.65443182255808
53.825884153698105,-235.86183688953511,-451.66999080554217
15.175976469875437,-338.09385511233603,-182.95831555563973
53.814762401259543,-235.90964577911694,-451.70173874823485
15.206193811384651,-338.04333800359387,-182.96124121559524
15.220755804605957,-338.0205815274486,-182.96345030104641
15.233275080591866,-337.99909859242831,-182.96543408951649
15.243526639852959,-337.97816362411152,-182.96688446544093
53.7935452321383,-236.01712632846818,-451.76568069752346
53.786187925904045,-236.0347595979178,-451.77749939973125
53.778728870409701,-236.05312488013544,-451.78911779984412
15.276739019899935,-337.89167802331804,-182.97303590597033
15.290208323821261,-337.86707982284099,-182.97620459025345
53.763542423145999,-236.12680171673256,-451.82858130105075
15.327539700935716,-337.81210638348227,-182.98489109355063
53.758214769603185,-236.19055031315747,-451.85849968090491
15.366584222164931,-337.75572233146397,-182.99632627958539
53.750095886111431,-236.24959785027281,-451.88380112177919
15.395417544058532,-337.70633683182524,-183.00800124028362
15.406220874544388,-337.68525084825819,-183.01246423319674
15.415788434724874,-337.66742077059621,-183.01528789920485
15.424855120572659,-337.65286501989414,-183.0164238973899
53.733366667292131,-236.3406007968924,-451.92903063598652
53.733605163149221,-236.35069549127672,-451.93462041285989
15.44597565861595,-337.62545314995407,-183.01997277984452
15.447535591753734,-337.61826902192848,-183.02540379468877
15.444857195096262,-337.60994931595724,-183.03362334988424
15.438491019012119,-337.5994888696647,-183.0434646411021
53.690537483300396,-236.39071278251802,-451.92694518443528
53.673748671407154,-236.39914590242012,-451.92548856879176
15.415553573082008,-337.55656699401192,-183.06967665371508
53.643340154399148,-236.41973224546012,-451.93159540491536
