x,y,z
-67.705065453347586,-222.65743653885087,-465.54481758298425
-67.720312533390299,-222.64237423142168,-465.52243042763263
-67.738353974341962,-222.62495561173728,-465.49852180979531
-67.758290701478018,-222.60562903472325,-465.47404994217004
-67.778849513870966,-222.58519025240992,-465.45015412887011
-67.798719094582111,-222.56504212254001,-465.42804573399337
-67.816565558644044,-222.54701609594477,-465.40880591854216
-67.831742588726883,-222.53325725698465,-465.39291106294286
-67.845024038069681,-222.52581525860222,-465.3804392080005
-67.85778727675519,-222.52620889174796,-465.37078868924914
-67.871219764681115,-222.53566398730129,-465.36393176806882
-67.886085899225094,-222.55421126781039,-465.35947793820247
-67.902813825027565,-222.58052798458601,-465.35674539104207
-67.921501777100914,-222.61215754431336,-465.35421155373194
-67.941856553855473,-222.64616469770834,-465.350046269014
-67.963938839641372,-222.68037244328724,-465.34241717691867
-67.987807664656401,-222.71396015811098,-465.32963280768263
-68.0137662711536,-222.74782817625712,-465.31084344480257
-68.04165887224984,-222.78445447859374,-465.28678032459908
-68.07038953153716,-222.82746188057951,-465.25976270468209
-68.098930131525677,-222.88056287661882,-465.23253654491776
-68.12721666831429,-222.94628341401614,-465.20708609158606
-68.155963014465414,-223.02582344972632,-465.18416210771062
-68.186451129409335,-223.11936641099237,-465.16379972623497
-68.220417648404151,-223.22620518012411,-465.14438258055975
-68.260287926224834,-223.34527781017954,-465.12327958514868
-68.308962557321337,-223.47541094462028,-465.09795584813776
-68.369192573383799,-223.6155924912897,-465.06734881864588
-68.441825173504526,-223.76485291036252,-465.03281407550747
-68.525752071183305,-223.92176266998118,-464.99701902702049
-68.618741088901245,-224.08402404518091,-464.96318412517127
-68.717899434651144,-224.24874447342344,-464.93451504807388
-68.819673536612981,-224.41358319360953,-464.91450888531426
-68.920378309009749,-224.57688143633877,-464.90594878210203
-69.01665592822819,-224.73770602444739,-464.91060345381783
-69.105765057656527,-224.89507993285318,-464.92885577608399
-69.1858408244711,-225.04723467304245,-464.95951698166715
-69.254913263390009,-225.19130463302454,-465.00049500123032
-69.310801654378082,-225.32356302157027,-465.04919808393117
-69.351743952854804,-225.43941602437764,-465.10154960099453
-69.377056771535962,-225.53480454946992,-465.15250832968439
-69.387699428585563,-225.60698843700499,-465.19705854169177
-69.38624941812779,-225.65564400130475,-465.23182624884652
-69.375872105204451,-225.68306461981305,-465.25583388530646
-69.359932523251203,-225.69456234812915,-465.27109325059666
-69.341407782951634,-225.69725472962082,-465.28119603587152
-69.322670182915829,-225.69898193954802,-465.29022705947642
-69.305929307238856,-225.7060594739921,-465.30033313400435
-69.292263154172574,-225.72236375117984,-465.31175430052434
-69.281054428425023,-225.74904133030267,-465.32398408776419
-69.269771151927515,-225.78496632471823,-465.3365136823943
-69.255025831879536,-225.82800318294727,-465.34954485741969
-69.233241243337716,-225.87617862832897,-465.36408696612096
-69.201938235101835,-225.92801183608458,-465.38089255866134
-69.160456387456165,-225.98279840534502,-465.39990041505854
-69.110315807679484,-226.04043203052308,-465.42062710104307
-69.055182228068986,-226.10258739349425,-465.44391101548752
-69.000840214869186,-226.1720168661945,-465.47071518184663
-68.955959091573106,-226.25128524880876,-465.50109173552784
-68.930367145162549,-226.34157024288547,-465.5338627862813
-68.932700414969418,-226.44165736154608,-465.56758322318308
-68.967442020897437,-226.54731630670634,-465.6008254974227
-69.032543846843097,-226.6520872493596,-465.63257504018804
-69.119217284913617,-226.74822321309841,-465.66137276659379
-69.213257107131312,-226.82888968953961,-465.68667033281821
-69.298364372242276,-226.89011326294852,-465.70936034958248
-69.360860697429928,-226.93107763425547,-465.73106240049424
-69.393350947053179,-226.95419630830051,-465.7528801455523
-69.397484014185665,-226.96399032358048,-465.77410396417656
-69.383355933586643,-226.96517276539885,-465.79098846620258
-69.364997338674641,-226.96169320192629,-465.79892441191589
-69.352889939472846,-226.95668246072313,-465.79668933060674
-69.348672657147063,-226.95277320993418,-465.78931614970287
-69.346263049056233,-226.95211603393119,-465.78501165836252
-69.337563234356764,-226.9552164090336,-465.78942201973052
-69.317129645188331,-226.9616167003212,-465.80350836432075
-69.283618260157581,-226.97003263598441,-465.82475593084934
-69.239082899052192,-226.97921179952451,-465.84896037561128
-69.188698944527346,-226.98769104088706,-465.87144544969112
-69.138008111497825,-226.99442374355093,-465.88950754292813
-69.089948408324418,-226.99891352194035,-465.90344512396103
-69.045045291044516,-227.00176439326236,-465.91532258884223
-69.002722656879541,-227.00427269195646,-465.92651766516383
-68.961799088920145,-227.00768410893326,-465.9375653219796
-68.920310861123468,-227.01263969266293,-465.94841378778438
-68.876826499756277,-227.01889630515558,-465.9576142887941
-68.830743582422016,-227.02592860268885,-465.96393447611325
-68.781789850973766,-227.03381816854667,-465.96739653370304
-68.729815389663756,-227.04341537617367,-465.96917839349874
-68.67534915225275,-227.05652749198489,-465.97143340693788
-68.620207643778784,-227.075562085549,-465.97625959464528
-68.566953242385139,-227.10343046250756,-465.98498843364683
-68.518448738500112,-227.14302967825529,-465.99769099450469
-68.476115082327993,-227.19762201611721,-466.01463061361494
-68.439707574886114,-227.27077319576424,-466.03697004341484
-68.40674081523828,-227.36685841132939,-466.06757103464241
-68.37337359699977,-227.48970496224007,-466.10975388631164
-68.335782081986849,-227.64189090892094,-466.16692670046183
-68.290004325023844,-227.82433998405565,-466.24277142311342
-68.231913057057795,-228.03633023375917,-466.34163768802182
-68.15705604848759,-228.27460181823125,-466.46685473496552
-68.061986365145899,-228.53187643721236,-466.6181427814243
-67.945942105076355,-228.79660858852037,-466.78938892581277
-67.813261628411468,-229.05531708698604,-466.96912182871785
-67.672824373525998,-229.29689817725449,-467.1439670712856
-67.53418817234575,-229.51540130639839,-467.30413223360733
-67.405433380923583,-229.70891986666771,-467.44436733077282
-67.293094733934367,-229.87696828366074,-467.56288382638661
-67.201618941481655,-230.0193746897649,-467.65964283703744
-67.131712001627619,-230.13626526825064,-467.73604354746146
-67.079948066499895,-230.22878331988935,-467.79484683327922
-67.039688353718262,-230.2991002023341,-467.84037315599772
-67.003898366731349,-230.3502608274878,-467.87747640572422
-66.967296620679051,-230.38584003853538,-467.91101690017337
-66.926482179102777,-230.41026482916152,-467.94608342505148
-66.880315641997811,-230.42795976888729,-467.98665250400728
-66.830939544107451,-230.44186571149078,-468.03310725429918
-66.782838991012909,-230.45296529113173,-468.08172241133093
-66.741002588877876,-230.46083819536727,-468.12653763432962
-66.70801622670254,-230.46531673569979,-468.16285959802838
-66.684063021843826,-230.46714153565836,-468.18877867248256
-66.667487303979726,-230.46755984220692,-468.20462973737261
-66.656453565658239,-230.467522642772,-468.21171944095613
-66.649579300536487,-230.46749453083652,-468.21153298450508
-66.646507350556675,-230.46758906236553,-468.20574202930709
-66.647287816900501,-230.46798549518584,-468.19628500265082
-66.651953060379881,-230.46875948538954,-468.18563652817727
-66.660915301368149,-230.46969823252155,-468.17543280020197
-66.674733584820842,-230.46979807452371,-468.16545224248091
-66.692903688176429,-230.46826075981747,-468.15426272860333
-66.71362306806526,-230.46530508149141,-468.14027031742847
-66.733603083457666,-230.46277448366945,-468.12327172562908
-66.748174421681284,-230.46460502737364,-468.10637764061977
-66.751107306319568,-230.47672594601426,-468.09645647695334
-66.735032856776144,-230.50727290875201,-468.10378800753921
-66.691232624980415,-230.56646834499196,-468.14164690771594
-66.610051516815076,-230.66651020825736,-468.22639572614378
-66.482132464821802,-230.82039368902957,-468.37617319449333
-66.302179064306983,-231.03844764449983,-468.60563846809515
