x,y,z
-30.337065033130209,-251.82037619285799,-493.87596777440802
-30.37722939896674,-251.82048117454951,-493.84299069487304
-30.41017795925687,-251.82037584496143,-493.81902464169229
-30.436364471976567,-251.82053882363161,-493.80207428639056
-30.456854525734414,-251.82040526631422,-493.78914818592875
-30.472919567405654,-251.81964118712042,-493.77775435962843
-30.485976172347186,-251.81887945165889,-493.76717579373786
-30.497907340364904,-251.81914856602296,-493.75779498385634
-30.510427385740442,-251.82142537733012,-493.74990643899702
-30.524566731380546,-251.82595220047054,-493.74283696561571
-30.540799053870273,-251.83245656067982,-493.73536616965959
-30.559232200031822,-251.84001215258414,-493.72604435067581
-30.58030637965232,-251.84768887827187,-493.71397199666654
-30.604724669605325,-251.85461690130262,-493.69896884348083
-30.632942069337417,-251.86028513313858,-493.68121577008071
-30.665099052014796,-251.86422989414257,-493.66103233597414
-30.700594833543882,-251.86656642019176,-493.63906423070284
-30.738619690929006,-251.86839483018437,-493.61655795093316
-30.778997513760238,-251.87111064892798,-493.59475126943653
-30.822873276931034,-251.87549449279649,-493.57342856246589
-30.873012972210368,-251.88061592166628,-493.55036682859503
-30.932810865395034,-251.88477037905588,-493.52213954763886
-31.0059044705067,-251.88576639819706,-493.48502973023068
-31.096321802086656,-251.88121995470254,-493.43561510922558
-31.210146005525033,-251.86612992886501,-493.369193845273
-31.355421927563171,-251.83139837944429,-493.27857954076359
-31.539886275083347,-251.76406884064392,-493.15345445994467
-31.768695894864884,-251.64962345747358,-492.98287693938659
-32.0430781507009,-251.47476593452404,-492.75783774234174
-32.360005681466831,-251.22979115914279,-492.47382326044669
-32.712819507852998,-250.91022635147351,-492.13216730018189
-33.091541659266213,-250.51931060450215,-491.74203140289507
-33.481488705278892,-250.07172295066465,-491.32190993891231
-33.861005537671964,-249.59744089671972,-490.89934817050562
-34.203159155036502,-249.13895442586929,-490.50628486150845
-34.484425152031839,-248.73834087200476,-490.17053482353577
-34.694062171281757,-248.42134981601484,-489.90663106422522
-34.835019914174175,-248.19158397014542,-489.71308970366573
-34.918148790296726,-248.0368891815439,-489.57751840476953
-34.956264049540344,-247.93910145789093,-489.48440102321302
-34.961046094429257,-247.88044357848938,-489.41986647636554
-34.94209459142246,-247.84646940931609,-489.37367846944915
-34.90775017269759,-247.8270283841706,-489.33974723714203
-34.866165632218532,-247.81572103435207,-489.31527618684879
-34.824905548924399,-247.80887805837722,-489.29906135209046
-34.79050622993006,-247.80426748387146,-489.29032963082426
-34.766793684148752,-247.80091710175108,-489.2876948666509
-34.754945070209111,-247.7983042178129,-489.28869309227565
-34.75398456837685,-247.79563828719347,-489.29012525182083
-34.76153855694416,-247.79166042973768,-489.2888515997638
-34.775036040763176,-247.78463737864345,-489.28258796318983
-34.792101506562446,-247.7731527043988,-489.27019743616955
-34.810938130996462,-247.75639502395944,-489.2518376158713
-34.830661201091161,-247.73434033882074,-489.22850872402717
-34.850822829246795,-247.7069173755867,-489.20050129695267
-34.871271927428097,-247.67318474673681,-489.16669512657313
-34.891810503771239,-247.63152719829324,-489.12497605443724
-34.912438124879216,-247.5810604811231,-489.07395593129615
-34.933047556523739,-247.52283771910254,-489.01489688863791
-34.952882606848696,-247.46195845177027,-488.95351766231829
-34.971122618032794,-247.40562588343883,-488.8977940327747
-34.98805500179396,-247.35943481889069,-488.85364016618979
-35.005574870254499,-247.32541223119344,-488.82303980391112
-35.026901357578311,-247.30233713831399,-488.80482969525059
-35.055647117674845,-247.28743732981897,-488.79700731447758
-35.09417589928475,-247.27784107600817,-488.79740803982287
-35.142550695074732,-247.27227477488202,-488.8049689307108
-35.19859949799546,-247.27186701900609,-488.82081359127511
-35.25867056672088,-247.2794196384408,-488.84724378901876
-35.31838029217549,-247.29803845599218,-488.88693002012542
-35.373358597277345,-247.3299904184199,-488.9416815343082
-35.420366378302298,-247.37495145582727,-489.01052546431202
-35.458850418055221,-247.4286800892651,-489.08819067810452
-35.491245580471507,-247.48247846610477,-489.1647502803699
-35.521575926406641,-247.52661927505994,-489.22901652958507
-35.553525351442211,-247.55515852316461,-489.27396970467913
-35.589251001019484,-247.56758832552197,-489.29820790646033
-35.628880238534414,-247.56706030384595,-489.30367448071519
-35.671518668553929,-247.55694876949744,-489.29285093342304
-35.715277151991479,-247.54001625961476,-489.26810730840361
-35.758220864186583,-247.51801695732476,-489.23169054456383
-35.797655909207215,-247.49281216977661,-489.18566204240648
-35.831566020013682,-247.46636873250162,-489.13205843265274
-35.859461378685921,-247.43975604443926,-489.07257393132301
-35.882426872924952,-247.41344834217162,-489.00921769081924
-35.902540931898173,-247.38830089333302,-488.94504317592066
-35.92195098832628,-247.36581070387874,-488.8844814104915
-35.94149586269441,-247.34819493420574,-488.8317223017267
-35.962300858034745,-247.33639793136476,-488.78778584180429
-35.986893893392107,-247.32794992740659,-488.74825445139822
-36.019261030811037,-247.31685842021867,-488.70571598487368
-36.062557422416283,-247.29586553825294,-488.65293157272623
-36.117904729601399,-247.25850838198929,-488.5860115149888
-36.183452454603831,-247.20110146249436,-488.5049763514042
-36.25416417637171,-247.12431587547346,-488.41398129127805
-36.322257480664454,-247.03428965197918,-488.32041114483786
-36.379722845831452,-246.94173701439613,-488.23329286452929
-36.420863808259497,-246.85858051631683,-488.16008910942861
-36.444181700012543,-246.79412604683671,-488.10477686911406
-36.452435637729167,-246.75193881884729,-488.0665072373439
-36.451310893351923,-246.73090409857539,-488.0419123839535
-36.446407130889789,-246.72658166158581,-488.02632363843622
-36.441042070961863,-246.73393615491031,-488.01575128827017
-36.43610999633291,-246.74770531309514,-488.00732074446108
-36.430969817896909,-246.76288117624495,-487.99908012557933
-36.424548162783097,-246.7754608653118,-487.99032723009645
-36.41584786925619,-246.78320127014604,-487.98143935962577
-36.404574273291232,-246.78571986000884,-487.97346246752062
-36.391678144625573,-246.78391251817891,-487.96685918530773
-36.379329200426454,-246.77920638403776,-487.96093529147203
-36.370622441888266,-246.77307519161906,-487.95382534134404
-36.368822057301969,-246.76676977534851,-487.94329341806383
-36.376689606739291,-246.76097261832217,-487.92781441339372
-36.395069631236474,-246.75637618880296,-487.90709990979667
-36.422919252894822,-246.75300141325013,-487.88192030006911
-36.457307527285181,-246.75054097672438,-487.85411516623196
-36.494241201630025,-246.74831211040231,-487.82613707978339
-36.529616457931915,-246.74546062339425,-487.79957189706124
-36.560654337189398,-246.74136308416462,-487.77469156730041
-36.586935947551027,-246.73551317628744,-487.75062351254013
-36.609824735556359,-246.7279813895918,-487.72634993533967
-36.631933208540758,-246.71973736469076,-487.70127422135391
-36.656236643594326,-246.71165631799127,-487.67437674945489
-36.685092889432212,-246.70462509976281,-487.64486205975635
-36.718284755993231,-246.69934344724209,-487.61235902387585
-36.752645817013374,-246.69640795170858,-487.57828799070899
-36.782871526912352,-246.69575989017829,-487.54458786263189
-36.803877601718249,-246.69588920054451,-487.51281482022642
-36.812625902544362,-246.69435029410479,-487.48384118070237
-36.809039979805405,-246.689392899328,-487.4579660388884
-36.796413849600491,-246.68119158289386,-487.4344978862996
-36.781891901635902,-246.67215468967709,-487.411981535324
-36.776347901033532,-246.66591619791512,-487.38848340153316
-36.793672348648016,-246.66638446343723,-487.36262203183168
-36.850214217193091,-246.67597019548285,-487.33349698163335
-36.963651975360939,-246.69505348412633,-487.30090307544407
-37.151442036431973,-246.72071622468184,-487.26566984327042
-37.429061015635256,-246.74598535553946,-487.22956220419934
-37.805852163995056,-246.76032696696808,-487.19452168722802
-38.281466177074698,-246.75107266023872,-487.15904421892685
-38.843691287177442,-246.7065470368976,-487.11502182842094
-39.469063928745804,-246.62187102270983,-487.05294142410111
-40.123622656868221,-246.50290992158008,-486.97009084431045
-40.766353958102691,-246.36344674205182,-486.87136906939463
-41.356330385501664,-246.21820883730288,-486.76433998878696
-41.859941282483888,-246.07863660736774,-486.65661572415297
-42.255796671620985,-245.95343501139888,-486.5577577332088
-42.536899929524076,-245.8490766247198,-486.47889078063133
-42.710083289901881,-245.7695199804372,-486.42966198694421
-42.793021842645146,-245.71464344222895,-486.41343843604045
-42.810134779819855,-245.68018397057341,-486.42604506290684
-42.787140579384307,-245.66073743429246,-486.4589366981653
-42.745431841479494,-245.65241502333828,-486.50269752034319
-42.69817320974861,-245.65291683872417,-486.54854896784985
-42.650316722461888,-245.66157532572862,-486.59027627372473
-42.600470099190041,-245.67826722772492,-486.62398380152996
-42.545174997886875,-245.70252270616979,-486.64805851361081
-42.481986310302155,-245.73218652935944,-486.66087455335986
-42.41192728321036,-245.76249814798709,-486.65816610892722
-42.340560444123874,-245.78588363650783,-486.632410429012
-42.277709294779562,-245.79334214940852,-486.57544922977917
-42.233863848211492,-245.77628752261779,-486.48304767791336
-42.215965884682561,-245.73040105918224,-486.36057674780415
-42.225018956221334,-245.65640799422459,-486.21994632478226
-42.257627740240245,-245.55902160733086,-486.07227151410524
-42.308018850551399,-245.4450879446789,-485.92379807003471
-42.36879720008519,-245.32564533717471,-485.78059793189743
-42.431434964645639,-245.21603422805723,-485.65209693015902
-42.487192952102703,-245.13208793301999,-485.54902880883674
-42.52957313439444,-245.08370356168774,-485.47825110725017
-42.555162056383125,-245.07232790395864,-485.44021555416094
-42.563474165246127,-245.09282270364241,-485.43051158792525
-42.555787368478391,-245.13664364979968,-485.44277351168256
-42.533222167278751,-245.19404395179725,-485.46939942281364
-42.49676220912859,-245.25508893232015,-485.50251333236497
-42.446962948877001,-245.30982172690872,-485.53320588213415
-42.384531006341369,-245.34685695326874,-485.55030800992034
-42.309924964324281,-245.35265103325827,-485.53870835266247
-42.223931109015183,-245.31264709064064,-485.47999275387309
-42.128186778090701,-245.21453803700805,-485.35726352027052
-42.025606024060075,-245.05350299008418,-485.16290922994204
-41.922852502605281,-244.83393040197018,-484.90258347268269
-41.831795792612517,-244.56843879929585,-484.59323947329005
-41.767130586875894,-244.27604799513608,-484.25968429837081
-41.740012836064203,-243.97939465129878,-483.92906155481035
-41.752706034221482,-243.69793340987687,-483.6227735986343
-41.799133945086375,-243.44227780126721,-483.35144606396995
-41.868314232508958,-243.21510415636936,-483.11617063242312
-41.948724149800249,-243.01554143927623,-482.91362685468545
-42.030875376525849,-242.84368025383259,-482.74065943180693
-42.108294799493393,-242.7028818936206,-482.59734983412324
-42.17816055406567,-242.59717668445751,-482.48553606572477
-42.24152076811415,-242.52759506020206,-482.40530850351877
-42.302272935454887,-242.48886443427187,-482.35212948444553
-42.365000863326635,-242.47085888839945,-482.31746507509655
-42.433222627504833,-242.46153464959409,-482.29134134600656
-42.507060525722736,-242.45013694118336,-482.26463825895303
-42.582971057744757,-242.4298393835046,-482.23110224368173
-42.655229924360377,-242.39824865307733,-482.18785898318305
-42.718642138948113,-242.35713261715733,-482.13553545427214
-42.771571497997627,-242.31017109564374,-482.07724665413593
-42.816856414855366,-242.26097450748443,-482.01681900793346
-42.861010521042346,-242.21239381098368,-481.95781199853326
-42.911696271475144,-242.16684278484439,-481.90206825347303
-42.975919390558253,-242.12668145664986,-481.8493240286893
-43.058236264429731,-242.0932552936149,-481.79690776136579
-43.159845069561968,-242.06619679677894,-481.73987979864688
-43.277112722470648,-242.043184079746,-481.67280554540304
-43.402353600971274,-242.01975583035303,-481.59225166624907
-43.52536088341418,-241.99051147971673,-481.49886132891959
-43.636653476228055,-241.95040347053265,-481.39705392439487
-43.729659778103247,-241.89547290836839,-481.2922834086724
-43.801056950417625,-241.82596196255798,-481.19076860078752
-43.850985924737678,-241.7470817261634,-481.09816208847394
-43.882936269805292,-241.66802842247409,-481.01900245844405
-43.90336379090482,-241.5983739601285,-480.95541083931113
-43.920987717656089,-241.54396312803811,-480.90612835622454
-43.945192068868167,-241.50558184740018,-480.86645345150015
-43.983664460830227,-241.47988174616685,-480.829977284363
-44.040038190726783,-241.46201626191765,-480.79146855619558
-44.11228753650262,-241.44774794363846,-480.74888824741856
-44.192865224488564,-241.43458918807403,-480.70421927810281
-44.270746305810363,-241.42236105032615,-480.66230636490155
-44.334583909910208,-241.41271896220925,-480.62900264341755
-44.375515610422205,-241.40886778810648,-480.60924994518336
-44.390593245593664,-241.41482932911859,-480.60625002196844
-44.383595159094646,-241.43357439308761,-480.62051308175228
-44.363348305621258,-241.46526341400548,-480.6487833739975
-44.340055225243766,-241.50598039159647,-480.68416404248899
-44.323372845305691,-241.54799763036868,-480.71790918801065
-44.320076787725498,-241.58157244130578,-480.74119650039484
-44.33262610631035,-241.59807891293968,-480.74740121671022
-44.358700030036623,-241.59220043180278,-480.73319283012108
-44.392940619363593,-241.56327801888008,-480.69927283459162
-44.430266441315176,-241.51530602591103,-480.64966986396144
-44.467994699357675,-241.45641056944359,-480.59044035701447
-44.506737540345391,-241.39646614939647,-480.52776026703725
-44.548753114496215,-241.34475197374249,-480.46645072930494
-44.596599050406759,-241.30761368427002,-480.40831382736923
-44.653449771382391,-241.2861527701146,-480.35103292179662
-44.723302049389325,-241.27420702235963,-480.28712012301327
-44.810051035253466,-241.2610686746923,-480.20783416288782
