x,y,z
-31.816264993700955,-250.70036147987477,-494.17294782480093
-31.815104251542252,-250.70172368298003,-494.17741191408567
-31.814380409784931,-250.7020256377815,-494.18112128793916
-31.814295895219281,-250.7010523579068,-494.18305234850811
-31.814182924691586,-250.69950176310419,-494.18360002387021
-31.813055555365672,-250.69868290193631,-494.18416386428243
-31.810443296470091,-250.69935667621942,-494.18551893344227
-31.806841670943619,-250.70151585579387,-494.1880815247718
-31.802942573127588,-250.70470475970643,-494.19178477422872
-31.79916215804073,-250.70847335916977,-494.19630380851282
-31.79532035359874,-250.71244326441871,-494.20105549361261
-31.79148633343388,-250.71641876682378,-494.20574708289399
-31.787580322874327,-250.72078258423863,-494.21090229904382
-31.783544068064472,-250.72574834453164,-494.21674854283128
-31.780061527293405,-250.73043749321002,-494.22258782177454
-31.778185576484525,-250.73342200810336,-494.22709591352412
-31.779058872756487,-250.73344987224365,-494.22882172087151
-31.783190649760321,-250.73001178708614,-494.22673678728728
-31.790465172477838,-250.72344214846368,-494.22046453926464
-31.799857770911586,-250.71473212271417,-494.21009159480576
-31.810198606169664,-250.70516032222903,-494.19627794923571
-31.819732125004592,-250.69631595618534,-494.18048472635451
-31.826821009151125,-250.68944868175157,-494.16456495328919
-31.83067311952442,-250.68544827948818,-494.15071934660557
-31.831776448367918,-250.6842868003545,-494.14068249178916
-31.83117886622,-250.68569427896659,-494.13550592971364
-31.829556030296182,-250.68943025222839,-494.13558188434899
-31.827579818716593,-250.69489671411736,-494.14031095324236
-31.82583268452467,-250.70117228869123,-494.14808888490154
-31.825370969831958,-250.70667073942241,-494.15621680745829
-31.827223604637879,-250.70980736043273,-494.16163720897322
-31.831834721285581,-250.70929616421961,-494.16185289333265
-31.838137367326951,-250.70533916375052,-494.15690839155081
-31.843823971551153,-250.69985351702272,-494.1494344588088
-31.846915371405935,-250.69522897469074,-494.14322419822264
-31.84624727540033,-250.69327523993235,-494.14101154002014
-31.842030386608876,-250.6945302477915,-494.14326257359426
-31.835378972407462,-250.69820145387715,-494.14862876172913
-31.828336850081818,-250.70286921303344,-494.15526948720048
-31.82310912381898,-250.70705067283453,-494.1617751723731
-31.821203066065969,-250.70977779774327,-494.16731677577837
-31.823262608310692,-250.71043156633522,-494.17076393518573
-31.828774071583133,-250.70898181173251,-494.17036526201838
-31.836279264631798,-250.70607898662416,-494.16544348630907
-31.843398606774848,-250.70293399322037,-494.15731025467045
-31.848725590354405,-250.70024474215015,-494.14789876932184
-31.852059727340773,-250.69776759261848,-494.13818046524085
-31.853512255694653,-250.69510852264099,-494.12907716277584
-31.853228824825862,-250.69243497055152,-494.12211226220029
-31.851292201056005,-250.69057461766423,-494.11880405623191
-31.848028481837694,-250.69049210214871,-494.12007536820164
-31.843520789571755,-250.69273358070316,-494.12545016953624
-31.837669696276386,-250.69728499611836,-494.13394087073539
-31.830872385824108,-250.70348307176221,-494.14393110594779
-31.823789155538158,-250.7103849408652,-494.15373888110452
-31.817045798994471,-250.71705418591642,-494.16148368527587
-31.810977161418286,-250.72249714549994,-494.16560740149743
-31.806140754725298,-250.72548728577374,-494.16483218255053
-31.803377657938739,-250.72495168105112,-494.15831734513063
-31.803027479642559,-250.7208055671075,-494.14664174947643
-31.804176872397925,-250.71404995947202,-494.13174630008848
-31.805391528368759,-250.70616066739794,-494.11598158665902
-31.805406052504502,-250.69855941813609,-494.10101025376139
-31.804058433188217,-250.69198122671432,-494.08809531426289
-31.80154155032664,-250.68657674887169,-494.07830875180753
-31.798535331637957,-250.68178917430745,-494.07175482302699
-31.795958729216721,-250.67733215014113,-494.06754632530749
-31.794400451979158,-250.67338517505365,-494.06490605892731
-31.794212381456447,-250.67026918167835,-494.06349252576035
-31.795004792371316,-250.66806133211992,-494.06346359970536
-31.795681390136302,-250.66694196338625,-494.06446463454574
-31.794614964209678,-250.66728893887512,-494.0665344749055
-31.790258425428263,-250.6698114627913,-494.07106117670958
-31.782246252229356,-250.67476161535527,-494.07970095618174
-31.771110003073083,-250.68210286062828,-494.0935142774137
-31.757938697982873,-250.69133889243781,-494.11150710870919
-31.7440781220619,-250.70174777454574,-494.13145756229073
-31.730657542580978,-250.71272815601213,-494.1512888101463
-31.719461281267364,-250.72323205392169,-494.16919193234872
-31.712099122801618,-250.73180806212113,-494.18317874256837
-31.709891059441389,-250.73680644343253,-494.19113677159993
-31.712820480417442,-250.73752423191277,-494.19250024604025
-31.719871200805251,-250.7340928406249,-494.1882370712986
-31.729433660271035,-250.72806528223472,-494.18098254083083
-31.739127780931398,-250.7217844169713,-494.17400159568564
-31.747544332828994,-250.71715274092958,-494.16967041724274
-31.754453175792165,-250.71519299214856,-494.16868557929166
-31.760386444569583,-250.71590208661001,-494.17044115794619
-31.765661746341941,-250.71883753613895,-494.17375413884508
-31.770427732312847,-250.72307796057544,-494.1775630274571
-31.774813303772412,-250.72739080744867,-494.18107826904094
-31.779272692551423,-250.73033881578158,-494.18285191495971
-31.783912360661077,-250.73092067126063,-494.18172752397282
-31.787670594607782,-250.72934997764423,-494.17797383745807
-31.789476533981933,-250.72666601012995,-494.1733016725031
-31.78876084027047,-250.72381224852577,-494.16955637790909
-31.78566965618964,-250.72116536963625,-494.16731127088309
-31.780370450937951,-250.71957408653216,-494.16663783986155
-31.773304938046543,-250.71959703189063,-494.16750635483049
-31.764658666645225,-250.72144447406038,-494.17009440979223
-31.755257615249739,-250.72446880439071,-494.17488370952969
-31.746347533811608,-250.72752692038884,-494.18125165432667
-31.739468897200304,-250.72926092176778,-494.18704150787164
-31.735488215901157,-250.72890279832353,-494.19021751376334
-31.734907910972012,-250.7262289490842,-494.18894924144189
-31.736955345289616,-250.7218874351438,-494.18236641192186
-31.740023812481716,-250.71697799015016,-494.17088604755048
-31.742500023128969,-250.71266715743943,-494.15669441695923
-31.743429164139457,-250.70997378564252,-494.14310429826213
-31.742637371797422,-250.70936219337844,-494.1328378818298
-31.740552827536909,-250.71042608359389,-494.12627184262465
-31.737716246085732,-250.7124741050261,-494.12280822663683
-31.7349175510371,-250.71491064285999,-494.12204024315884
-31.733272159006873,-250.71683513372648,-494.12335798105255
-31.734177752118065,-250.71711648740427,-494.12530535049154
-31.738866206903914,-250.71462207874632,-494.12588954599829
-31.747788258836451,-250.70908328915161,-494.12356321486862
-31.76028820102912,-250.70130017466502,-494.11819107808202
-31.774785574091595,-250.6930694153051,-494.11187186731354
-31.789176049960275,-250.68677118891546,-494.10803143205271
-31.80145602134435,-250.68407017963389,-494.10909280930014
-31.810066960425779,-250.68575701909344,-494.11564887753104
-31.81446099490902,-250.69140712941405,-494.12668497072946
-31.814863951375955,-250.69964199749853,-494.14036051325047
-31.81244428170163,-250.70845558178686,-494.15412498297013
-31.80893585202206,-250.71571024393518,-494.1657160681188
-31.80546315961184,-250.72018732380658,-494.17383098739384
-31.802718500586693,-250.72173857404613,-494.17833536677648
-31.80053738855095,-250.72086773103169,-494.17953920675126
-31.798679197490642,-250.71848994180829,-494.17847362680078
