x,y,z
59.50963119127853,-240.47257416892376,-454.79744142455218
59.503709320031021,-240.46556768792723,-454.78999390701352
59.496970445042827,-240.45951331746059,-454.78358925703196
59.490069327520644,-240.45578959201433,-454.78005103842719
59.483630921563346,-240.45504327288413,-454.7801167193474
59.47820463455659,-240.45677760220022,-454.78278939075483
59.47461481794884,-240.46044861785913,-454.78650099433213
59.473164152862367,-240.46530438419484,-454.79056439877758
59.47409138354999,-240.4711611893369,-454.79511945097079
59.477165968053967,-240.47729298689018,-454.79988733653738
59.48159021725381,-240.4829931744089,-454.80411751973656
59.486051433582276,-240.48779902178981,-454.80738506110293
59.48963218775593,-240.49136403058907,-454.80968754479278
59.491762105518525,-240.49361529222105,-454.81167657110456
59.492590755150417,-240.49432567999452,-454.8137999591396
59.492310009866927,-240.49381500358658,-454.81618322912362
59.491173044667633,-240.49324615574406,-454.81935992552707
59.489622781578767,-240.49341063847953,-454.82338012569107
59.487895545071098,-240.49434620812332,-454.8278049521266
59.485893966097777,-240.49484121881051,-454.83138898567483
59.483131190936248,-240.49317963047588,-454.83269093345615
59.478975302887747,-240.48731476072544,-454.83009661004286
59.472675689167204,-240.4752844402164,-454.82243260667525
59.46409440429332,-240.4570912012496,-454.80928558757199
59.453656397227356,-240.43543427532452,-454.79214397018916
59.442597643600593,-240.41445003777062,-454.7738638366983
59.432179483312687,-240.39789600477616,-454.75776001567249
59.4234939057133,-240.38783362221082,-454.74634571425412
59.417471268051294,-240.38431175721405,-454.74019471902938
59.413918012275161,-240.38594469780131,-454.73879259283018
59.412315179666564,-240.39038516124532,-454.74076147983988
59.412104349708038,-240.39515686617054,-454.74408623993673
59.41269649871515,-240.39903707012283,-454.74758692520163
59.413775532568494,-240.40204851971995,-454.75110785111548
59.414852566472575,-240.40457155939291,-454.75483585232604
59.415669568522233,-240.40665343751095,-454.75868874281105
59.416262291652885,-240.40817817134374,-454.76164120361591
59.416885712969048,-240.40817114043821,-454.76199828489769
59.417823409630145,-240.40582637310743,-454.75871287039013
59.419609228109934,-240.40151018540166,-454.75257704418624
59.422910563484578,-240.39659054530196,-454.74551755715106
59.428052578300608,-240.39222559214886,-454.73958562533772
59.43455463133833,-240.38865261690611,-454.73590095137331
59.441613481016709,-240.38525504044543,-454.73417097115112
59.448626094221169,-240.38218449074151,-454.73368749567578
59.454941755108948,-240.37958041035552,-454.73351149561682
59.460116811310968,-240.37723249474428,-454.73294464673717
59.463505187249041,-240.37470227640401,-454.73152684225136
59.464689413907436,-240.3718238251351,-454.72965683781615
59.46382444279503,-240.36903077423935,-454.72806120918193
59.461034481655474,-240.36670350108628,-454.72742293448823
59.456618903604372,-240.36503219538676,-454.72793029036649
59.451246508719692,-240.36394112274385,-454.72947190067237
59.446093165491632,-240.36336868801828,-454.73164650006362
59.442418275532873,-240.36316078930233,-454.73423360167061
59.441083244564965,-240.36320602642516,-454.73669151737778
59.442094760771802,-240.36360236294047,-454.73847990507016
59.444763561613151,-240.36434555370099,-454.73941164860321
59.448124870626955,-240.36578407944322,-454.73979841906163
59.451161218005964,-240.36840483815115,-454.74054337225886
59.453403989829944,-240.3729194999712,-454.74243998098797
59.45456914904841,-240.37940069469158,-454.74536226166026
59.454778855271954,-240.38671261930432,-454.74791867844181
59.454379621766421,-240.39359564703184,-454.74901331832746
59.453709785129185,-240.39894645188676,-454.74818422860147
59.453139547257209,-240.40222300200708,-454.74545146751507
